"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Management API","0","DELETE /users","1","0","Delete user — response body","0"
"0","User Management API","0","POST /users","1","0","Create user — minimal payload","0"
"0","Posts API","0","CRUD /posts","1","0","Filter posts by user","0"
"0","Posts API","0","CRUD /posts","3","0","Create post — data-driven","0"
"0","User Management API","0","GET /users","3","0","Create user — data-driven","0"
"0","User Management API","0","POST /users","1","0","Create user — happy path","0"
"0","User Management API","0","GET /users","2","0","List all users","0"
"0","Posts API","0","CRUD /posts","1","0","Get post by ID","0"
"0","User Management API","0","DELETE /users","1","0","Delete user — happy path","0"
"0","User Management API","0","GET /users","1","0","Error handling — not found","0"
"0","User Management API","0","GET /users","2","0","Get user by ID","0"
"0","Posts API","0","CRUD /posts","1","0","Delete post","0"
"0","Posts API","0","CRUD /posts","1","0","Update post","0"
"0","Posts API","0","CRUD /posts","1","0","List all posts","0"
"0","User Management API","0","POST /users","1","0","Update user","0"
