"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","381","PUT /users/{id} with random data returns 200","Regression Suite","Thu Apr 23 00:10:21 UTC 2026","passed","Thu Apr 23 00:10:21 UTC 2026","com.vinoth.automation.tests.users.UpdateUserTests","User API Tests","com.vinoth.automation.tests.users.UpdateUserTests","updateUser_withRandomPayload_returns200"
"","110","deletePost_nonExistentId_respondsWithinSla","Regression Suite","Thu Apr 23 00:10:24 UTC 2026","passed","Thu Apr 23 00:10:24 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","deletePost_nonExistentId_respondsWithinSla"
"","130","DELETE /users/{id} with valid id returns 200","Regression Suite","Thu Apr 23 00:10:21 UTC 2026","passed","Thu Apr 23 00:10:21 UTC 2026","com.vinoth.automation.tests.users.DeleteUserTests","User API Tests","com.vinoth.automation.tests.users.DeleteUserTests","deleteUser_withValidId_returns200"
"","96","createUser_nullName_apiRespondsWithinSla","Regression Suite","Thu Apr 23 00:10:22 UTC 2026","passed","Thu Apr 23 00:10:22 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","createUser_nullName_apiRespondsWithinSla"
"","3338","POST /users contract returns 201 with id","Contract Suite","Thu Apr 23 00:10:21 UTC 2026","passed","Thu Apr 23 00:10:25 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","createUser_contractReturns201WithId"
"","74","getUser_withBoundaryId_returns4xx","Regression Suite","Thu Apr 23 00:10:22 UTC 2026","passed","Thu Apr 23 00:10:22 UTC 2026","com.vinoth.automation.tests.users.UserNegativeTests","User API Tests","com.vinoth.automation.tests.users.UserNegativeTests","getUser_withBoundaryId_returns4xx"
"","117","GET /posts?userId=1 filters posts by user","Regression Suite","Thu Apr 23 00:10:23 UTC 2026","passed","Thu Apr 23 00:10:24 UTC 2026","com.vinoth.automation.tests.posts.PostCrudTests","Post API Tests","com.vinoth.automation.tests.posts.PostCrudTests","getPostsByUserId_returnsOnlyUserPosts"
"","30","GET /users/99999 contract returns 404","Contract Suite","Thu Apr 23 00:10:25 UTC 2026","passed","Thu Apr 23 00:10:25 UTC 2026","com.vinoth.automation.tests.contract.UserContractTests","Contract Tests","com.vinoth.automation.tests.contract.UserContractTests","getUser_nonExistent_contractReturns404"
"","70","getPost_withBoundaryId_returns4xx","Regression Suite","Thu Apr 23 00:10:24 UTC 2026","passed","Thu Apr 23 00:10:24 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
"","70","getPost_withBoundaryId_returns4xx","Regression Suite","Thu Apr 23 00:10:24 UTC 2026","passed","Thu Apr 23 00:10:24 UTC 2026","com.vinoth.automation.tests.posts.PostNegativeTests","Post API Tests","com.vinoth.automation.tests.posts.PostNegativeTests","getPost_withBoundaryId_returns4xx"
